procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  33576  52444 291112    0    0     0     0 1123  562  0  3 97  0  0
 1  0      0  33432  52444 291112    0    0     0     0 1193  578  0  5 95  0  0
 2  0      0  33432  52444 291112    0    0     0     0 1262  512  0 16 84  0  0
 0  0      0  33416  52444 291112    0    0     0     4 1107  506  1 10 89  0  0
 1  0      0  33416  52444 291112    0    0     0    12 1165  502  1  9 90  0  0
 1  0      0  33432  52444 291112    0    0     0     0  981  481  1  7 92  0  0
 0  0      0  33464  52444 291112    0    0     0     0  821  489  2  2 96  0  0
 0  0      0  33352  52444 291112    0    0     0     0 1084  491  0  3 97  0  0
 0  0      0  33240  52444 291112    0    0     0     0 1596  614  0  7 93  0  0
 0  0      0  33256  52448 291112    0    0     0    16 1313  531  1  7 91  1  0
 0  0      0  33288  52448 291112    0    0     0     0 1006  459  3  2 95  0  0
 0  0      0  33336  52448 291112    0    0     0     0 1152  490  0 11 89  0  0
 0  0      0  33400  52448 291112    0    0     0     0 1186  497  0  5 95  0  0
 1  0      0  33432  52448 291112    0    0     0     0 1100  464  1  3 95  0  0
 1  0      0  33336  52452 291112    0    0     0    12 1331  542  0 12 88  0  0
 0  0      0  33352  52452 291112    0    0     0     0 1067  456  0  2 98  0  0
 1  0      0  33448  52452 291112    0    0     0     0 1493  573  0 13 87  0  0
 2  0      0  33432  52452 291112    0    0     0     0 2114  638  0 11 89  0  0
 0  0      0  33368  52452 291112    0    0     0     4 1683  585  1  7 91  0  0
 0  0      0  33320  52452 291116    0    0     0    16 1162  505  0  6 93  1  0
 1  0      0  33384  52452 291120    0    0     0     0 1827  610  0 18 82  0  0
 2  0      0  33352  52452 291120    0    0     0     0 1919  678  0 13 87  0  0
 1  0      0  33368  52452 291120    0    0     0     0 1940  614  0 13 87  0  0
 0  0      0  33368  52452 291120    0    0     0     0 1348  510  1 11 88  0  0
 2  0      0  33384  52456 291120    0    0     0    16 1336  519  0 10 90  0  0
 0  0      0  33272  52456 291120    0    0     0     0 1561  518  0 16 84  0  0
 0  0      0  33176  52456 291120    0    0     0     0 2264  648  1 14 85  0  0
 0  0      0  33208  52456 291120    0    0     0     0 1961  600  0 15 85  0  0
 0  0      0  33256  52456 291120    0    0     0     0 2463  695  0 26 74  0  0
 2  0      0  33416  52460 291120    0    0     0    16 3097  836  1 24 73  1  0
