procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0    512  51264  50880 271120    0    0     0     0 5954  805  2 98  0  0  0
33  0    512  51216  50880 271120    0    0     0     0 5907  836  4 96  0  0  0
29  0    512  51408  50880 271124    0    0     0     0 5915  820  3 97  0  0  0
31  0    512  51264  50880 271124    0    0     0    48 5902  857  1 99  0  0  0
31  0    512  51152  50880 271124    0    0     0     0 6099  753  0 100  0  0  0
32  0    512  51008  50880 271124    0    0     0     0 6064  671  0 100  0  0  0
34  0    512  51056  50880 271128    0    0     0     0 5991  678  3 97  0  0  0
31  0    512  51120  50880 271128    0    0     0     0 6078  705  1 99  0  0  0
35  0    512  51056  50880 271128    0    0     0    28 6095  684  0 100  0  0  0
30  0    512  51152  50880 271128    0    0     0     0 6090  659  2 98  0  0  0
30  0    512  51008  50880 271128    0    0     0     0 6037  671  0 100  0  0  0
31  0    512  51136  50880 271128    0    0     0     0 6104  650  0 100  0  0  0
30  0    512  51200  50880 271132    0    0     0     0 5980  698  2 98  0  0  0
30  0    512  51072  50880 271132    0    0     0    16 6012  714  3 97  0  0  0
29  0    512  51120  50880 271132    0    0     0    12 5927  700  2 98  0  0  0
30  0    512  51152  50880 271132    0    0     0     0 6046  671  0 100  0  0  0
31  0    512  51160  50880 271136    0    0     0     0 6058  684  2 98  0  0  0
36  0    512  51080  50880 271136    0    0     0     0 5970  676  2 98  0  0  0
30  0    512  51080  50884 271136    0    0     0    24 6019  728  2 98  0  0  0
33  0    512  51000  50884 271136    0    0     0     0 6079  657  2 98  0  0  0
30  0    512  51192  50884 271140    0    0     0     0 6055  700  1 99  0  0  0
28  0    512  51224  50884 271140    0    0     0     0 6025  685  1 99  0  0  0
31  0    512  51096  50884 271140    0    0     0     0 6014  666  0 100  0  0  0
31  0    512  51192  50884 271140    0    0     0    16 6085  668  1 99  0  0  0
32  0    512  51016  50884 271140    0    0     0     0 6023  678  2 98  0  0  0
33  0    512  51256  50884 271144    0    0     0     0 6112  659  3 97  0  0  0
31  0    512  51000  50884 271144    0    0     0     0 6012  696  0 100  0  0  0
30  0    512  51112  50884 271144    0    0     0     0 6072  666  2 98  0  0  0
31  0    512  51176  50884 271144    0    0     0    16 6110  689  0 100  0  0  0
32  0    512  51032  50884 271144    0    0     0     0 6044  683  3 97  0  0  0
32  0    512  51048  50884 271148    0    0     0     0 6117  678  1 99  0  0  0
33  0    512  51024  50884 271148    0    0     0     0 5975  666  3 97  0  0  0
33  0    512  50912  50884 271148    0    0     0     0 4565  631 29 71  0  0  0
31  0    512  50616  50888 271148    0    0     0    16 5817  681  4 96  0  0  0
29  0    512  50540  50888 271148    0    0     0    16 4994  648 22 78  0  0  0
34  0    512  50412  50888 271148    0    0     0     0 6003  656  1 99  0  0  0
31  0    512  50380  50888 271148    0    0     0     0 4866  656 19 81  0  0  0
34  0    512  50524  50888 271148    0    0     0     0 6044  679  0 100  0  0  0
32  0    512  50432  50888 271152    0    0     0    24 5762  838  3 97  0  0  0
30  0    512  50224  50888 271152    0    0     0    32 5100  634 20 80  0  0  0
32  0    512  50256  50888 271152    0    0     0     0 5970  701  1 99  0  0  0
30  0    512  51192  50888 271152    0    0     0     0 5734  735  1 99  0  0  0
32  0    512  51144  50888 271156    0    0     0     0 6066  667  1 99  0  0  0
31  0    512  51160  50892 271156    0    0     0    36 6108  688  1 99  0  0  0
31  0    512  51192  50892 271156    0    0     0     0 5995  682  3 97  0  0  0
30  0    512  51064  50892 271156    0    0     0     0 6075  671  3 97  0  0  0
33  0    512  51128  50892 271156    0    0     0     0 5995  673  3 97  0  0  0
32  0    512  51208  50892 271160    0    0     0     0 6060  674  0 100  0  0  0
31  0    512  51016  50892 271160    0    0     0    16 6080  691  2 98  0  0  0
31  0    512  51144  50892 271164    0    0     0     8 6109  686  1 99  0  0  0
34  0    512  51128  50892 271164    0    0     0     0 5938  686  3 97  0  0  0
31  0    512  51192  50892 271168    0    0     0     0 6036  668  1 99  0  0  0
33  0    512  50968  50892 271168    0    0     0     0 5947  728  3 97  0  0  0
26  0    512  51352  50892 271172    0    0     0    24 6041  730  0 100  0  0  0
21  0    512  51660  50892 271172    0    0     0     0 5823  654  3 97  0  0  0
14  0    512  52456  50892 271176    0    0     0     0 5855  666  3 97  0  0  0
 7  0    512  53232  50892 271172    0    0     0     0 5809  672  3 97  0  0  0
